p1_rtt,p1_cwnd,p1_inf,p2_rtt,p2_cwnd,p2_inf,GoodputImproved,Goodput,selected path,reward
0,46.72,25,0,46.72,25,Yes,2920,0,1
0,46.72,74,0,46.72,80,Yes,4380,1,1
0,46.72,74,0,46.72,80,No,4380,0,-1
0,46.72,80,0,46.72,74,No,4380,0,-1
0,46.72,74,0,46.72,80,No,4380,0,-1
44.168,46.72,0,0,46.72,80,No,4380,0,-1
44.168,46.72,1350,0,46.72,80,Yes,5840,0,1
44.168,46.72,2700,0,46.72,80,Yes,7300,1,1
44.168,46.72,2700,0,46.72,1430,Yes,8760,0,1
44.168,46.72,4050,0,46.72,1430,Yes,10220,1,1
44.168,46.72,4050,0,46.72,2780,Yes,11680,0,1
44.168,46.72,5400,0,46.72,2780,Yes,13140,1,1
0,46.72,4130,44.168,46.72,5400,Yes,14600,0,1
44.168,46.72,5400,0,46.72,5480,Yes,16060,1,1
44.168,46.72,5400,0,46.72,6830,No,16060,0,-1
44.168,46.72,6750,0,46.72,6830,Yes,17520,0,1
44.168,46.72,8100,0,46.72,6830,Yes,18980,1,1
44.168,46.72,8100,0,46.72,8180,Yes,20440,0,1
44.168,46.72,9450,0,46.72,8180,Yes,21900,1,1
44.168,46.72,9450,0,46.72,9530,Yes,23360,0,1
44.168,46.72,10800,0,46.72,9530,Yes,24820,1,1
44.168,46.72,10800,0,46.72,10880,Yes,26280,0,1
0,46.72,10880,44.168,46.72,12150,Yes,27740,1,1
44.168,46.72,13500,0,46.72,10880,Yes,29200,0,1
44.168,46.72,14850,0,46.72,10880,Yes,30660,1,1
44.168,46.72,14850,0,46.72,12230,Yes,32120,0,1
44.168,46.72,16200,0,46.72,12230,Yes,33580,1,1
44.168,46.72,16200,0,46.72,13580,Yes,35040,0,1
44.168,46.72,17550,0,46.72,13580,Yes,36500,1,1
44.168,46.72,17550,0,46.72,14930,Yes,37960,0,1
0,46.72,14930,44.168,46.72,18900,Yes,39420,1,1
0,46.72,14930,44.168,46.72,19988,Yes,40880,0,1
44.168,46.72,19988,0,46.72,14959,Yes,42340,1,1
44.168,46.72,19988,74.251,46.72,14934,No,42340,0,-1
44.168,46.72,19988,74.251,46.72,14934,Yes,43800,0,1
74.251,46.72,14934,44.168,46.72,19988,No,43800,1,-1
44.168,46.72,19988,74.251,46.72,14934,No,43800,1,-1
74.133,46.72,14879,44.168,46.72,19988,No,43800,1,-1
44.168,46.72,19988,74.133,46.72,14879,No,43800,1,-1
44.168,46.72,19988,74.133,46.72,14879,Yes,45260,1,1
72.028,46.72,17288,74.133,46.72,14879,Yes,46720,0,1
72.039,46.72,14588,74.133,46.72,14879,No,46720,1,-1
72.508,46.72,11888,74.133,46.72,14879,No,46720,1,-1
72.86,46.72,9188,74.133,46.72,14879,No,46720,1,-1
73.366,46.72,6488,74.133,46.72,14879,No,46720,1,-1
73.873,46.72,3788,74.133,46.72,14879,No,46720,1,-1
74.278,46.72,1088,74.133,46.72,14879,No,46720,1,-1
87.954,46.72,12179,74.278,46.72,1088,No,46720,1,-1
88.301,46.72,9479,74.278,46.72,1088,No,46720,1,-1
74.278,46.72,1088,88.65,46.72,6779,No,46720,1,-1
74.278,46.72,1088,88.973,46.72,4079,No,46720,1,-1
74.278,46.72,1088,88.973,46.72,4079,No,46720,1,-1
74.278,46.72,1088,88.973,46.72,5429,Yes,48180,1,1
74.278,46.72,1088,88.973,46.72,6779,Yes,49640,0,1
74.278,46.72,2438,88.973,46.72,6779,Yes,51100,1,1
74.278,46.72,2438,88.973,46.72,8129,Yes,52560,0,1
74.278,46.72,3788,88.973,46.72,8129,Yes,54020,1,1
74.278,46.72,3788,88.973,46.72,9479,Yes,55480,0,1
74.278,46.72,5138,88.973,46.72,9479,Yes,56940,1,1
74.278,46.72,5138,88.973,46.72,10829,Yes,58400,0,1
74.278,46.72,6488,88.973,46.72,10829,Yes,59860,1,1
74.278,46.72,6488,88.973,46.72,12179,Yes,61320,0,1
74.278,46.72,7838,88.973,46.72,12179,Yes,62780,1,1
74.278,46.72,7838,88.973,46.72,13529,Yes,64240,0,1
74.278,46.72,9188,88.973,46.72,13529,Yes,65700,1,1
74.278,46.72,9188,88.973,46.72,14879,Yes,67160,0,1
74.278,46.72,10538,88.973,46.72,14879,Yes,68620,1,1
74.278,46.72,10538,88.973,46.72,16229,Yes,70080,0,1
74.278,46.72,11888,88.973,46.72,16229,Yes,71540,1,1
74.278,46.72,11888,88.973,46.72,17579,Yes,73000,0,1
74.278,46.72,13238,88.973,46.72,17579,Yes,74460,1,1
74.278,46.72,13238,88.973,46.72,18929,Yes,75920,0,1
74.278,46.72,14588,88.973,46.72,18929,Yes,77380,1,1
74.278,46.72,14588,88.973,46.72,20279,Yes,78840,0,1
74.278,46.72,15938,88.973,46.72,20279,Yes,80300,1,1
74.278,46.72,15938,88.973,46.72,21629,Yes,81760,0,1
74.278,46.72,17288,88.973,46.72,21629,Yes,83220,1,1
74.278,46.72,17288,88.973,46.72,22979,Yes,84680,0,1
74.278,46.72,18638,88.973,46.72,22979,Yes,86140,1,1
74.278,46.72,18638,88.973,46.72,24329,Yes,87600,0,1
74.278,46.72,19988,88.973,46.72,24329,Yes,89060,1,1
88.973,46.72,25679,74.278,46.72,19988,Yes,90520,0,1
74.278,46.72,19988,88.973,46.72,27029,Yes,91980,1,1
74.278,46.72,19988,88.973,46.72,28379,Yes,93440,0,1
74.278,46.72,21338,88.973,46.72,28379,Yes,94900,1,1
74.278,46.72,21338,88.973,46.72,29729,Yes,96360,0,1
74.278,46.72,22688,88.973,46.72,29729,Yes,97820,1,1
74.278,46.72,22688,88.973,46.72,31079,Yes,99280,0,1
74.278,46.72,24038,88.973,46.72,31079,Yes,100740,1,1
74.278,46.72,24038,88.973,46.72,32429,Yes,102200,0,1
74.278,46.72,25388,88.973,46.72,32429,Yes,103660,1,1
74.278,46.72,25388,88.973,46.72,33779,Yes,105120,0,1
74.278,46.72,26738,88.973,46.72,33779,Yes,106580,1,1
74.278,46.72,26738,88.973,46.72,35129,Yes,108040,0,1
74.278,46.72,28088,88.973,46.72,35129,Yes,109500,1,1
74.278,46.72,28088,88.973,46.72,36479,Yes,110960,0,1
74.278,46.72,29156,88.973,46.72,36479,Yes,112420,1,1
74.278,46.72,29156,88.973,46.72,36508,Yes,113880,0,1
74.278,46.72,29156,88.973,46.72,36508,No,113880,1,-1
74.278,46.72,29156,89.492,49.64,33808,No,113880,1,-1
74.278,46.72,29156,89.492,49.64,33808,No,113880,1,-1
74.278,46.72,29156,89.446,52.56,32429,Yes,115340,1,1
74.278,46.72,29156,89.446,52.56,32429,No,115340,0,-1
89.446,52.56,32429,74.278,46.72,29156,Yes,116800,0,1
74.278,48.18,28068,89.446,52.56,32429,No,116800,1,-1
72.189,51.1,25368,89.446,52.56,32429,No,116800,1,-1
72.243,51.1,22668,89.446,52.56,32429,Yes,118260,1,1
72.243,51.1,22668,89.446,52.56,32465,Yes,119720,0,1
72.601,51.1,19968,89.446,52.56,32465,No,119720,1,-1
89.446,52.56,32465,72.864,51.1,17268,No,119720,1,-1
89.446,52.56,32465,73.403,51.1,14568,No,119720,1,-1
73.597,51.1,11868,89.446,52.56,32465,No,119720,1,-1
74.035,51.1,9168,89.446,52.56,32465,No,119720,1,-1
74.369,51.1,6468,89.446,52.56,32465,No,119720,1,-1
74.608,51.1,3768,89.446,52.56,32465,No,119720,1,-1
75.038,51.1,1068,89.446,52.56,32465,No,119720,1,-1
75.038,51.1,1068,87.666,55.48,29765,No,119720,1,-1
